,id,title,original_title
685,19404,Dilwale Dulhania Le Jayenge,दिलवाले दुल्हनिया ले जायेंगे
686,129,Spirited Away,千と千尋の神隠し
687,155,The Dark Knight,The Dark Knight
688,496243,Parasite,기생충
689,497,The Green Mile,The Green Mile
690,372058,Your Name.,君の名は。
691,680,Pulp Fiction,Pulp Fiction
692,122,The Lord of the Rings: The Return of the King,The Lord of the Rings: The Return of the King
693,13,Forrest Gump,Forrest Gump
694,429,"The Good, the Bad and the Ugly","Il buono, il brutto, il cattivo"
695,769,GoodFellas,GoodFellas
696,346,Seven Samurai,七人の侍
697,12477,Grave of the Fireflies,火垂るの墓
698,637,Life Is Beautiful,La vita è bella
699,11216,Cinema Paradiso,Nuovo Cinema Paradiso
700,278,The Shawshank Redemption,The Shawshank Redemption
701,238,The Godfather,The Godfather
702,240,The Godfather Part II,The Godfather Part II
703,424,Schindler's List,Schindler's List
704,389,12 Angry Men,12 Angry Men
705,19404,Dilwale Dulhania Le Jayenge,दिलवाले दुल्हनिया ले जायेंगे
706,129,Spirited Away,千と千尋の神隠し
707,155,The Dark Knight,The Dark Knight
708,496243,Parasite,기생충
709,497,The Green Mile,The Green Mile
710,372058,Your Name.,君の名は。
711,680,Pulp Fiction,Pulp Fiction
712,122,The Lord of the Rings: The Return of the King,The Lord of the Rings: The Return of the King
713,13,Forrest Gump,Forrest Gump
714,429,"The Good, the Bad and the Ugly","Il buono, il brutto, il cattivo"
715,769,GoodFellas,GoodFellas
716,346,Seven Samurai,七人の侍
717,12477,Grave of the Fireflies,火垂るの墓
718,637,Life Is Beautiful,La vita è bella
719,11216,Cinema Paradiso,Nuovo Cinema Paradiso
720,278,The Shawshank Redemption,The Shawshank Redemption
721,238,The Godfather,The Godfather
722,240,The Godfather Part II,The Godfather Part II
723,424,Schindler's List,Schindler's List
724,389,12 Angry Men,12 Angry Men
725,19404,Dilwale Dulhania Le Jayenge,दिलवाले दुल्हनिया ले जायेंगे
726,129,Spirited Away,千と千尋の神隠し
727,155,The Dark Knight,The Dark Knight
728,496243,Parasite,기생충
729,497,The Green Mile,The Green Mile
730,372058,Your Name.,君の名は。
731,680,Pulp Fiction,Pulp Fiction
732,122,The Lord of the Rings: The Return of the King,The Lord of the Rings: The Return of the King
733,13,Forrest Gump,Forrest Gump
734,429,"The Good, the Bad and the Ugly","Il buono, il brutto, il cattivo"
735,769,GoodFellas,GoodFellas
736,346,Seven Samurai,七人の侍
737,12477,Grave of the Fireflies,火垂るの墓
738,637,Life Is Beautiful,La vita è bella
739,11216,Cinema Paradiso,Nuovo Cinema Paradiso
740,278,The Shawshank Redemption,The Shawshank Redemption
741,238,The Godfather,The Godfather
742,240,The Godfather Part II,The Godfather Part II
743,424,Schindler's List,Schindler's List
744,389,12 Angry Men,12 Angry Men
745,19404,Dilwale Dulhania Le Jayenge,दिलवाले दुल्हनिया ले जायेंगे
746,129,Spirited Away,千と千尋の神隠し
747,155,The Dark Knight,The Dark Knight
748,496243,Parasite,기생충
749,497,The Green Mile,The Green Mile
750,372058,Your Name.,君の名は。
751,680,Pulp Fiction,Pulp Fiction
752,122,The Lord of the Rings: The Return of the King,The Lord of the Rings: The Return of the King
753,13,Forrest Gump,Forrest Gump
754,429,"The Good, the Bad and the Ugly","Il buono, il brutto, il cattivo"
755,769,GoodFellas,GoodFellas
756,346,Seven Samurai,七人の侍
757,12477,Grave of the Fireflies,火垂るの墓
758,637,Life Is Beautiful,La vita è bella
759,11216,Cinema Paradiso,Nuovo Cinema Paradiso
760,278,The Shawshank Redemption,The Shawshank Redemption
761,238,The Godfather,The Godfather
762,240,The Godfather Part II,The Godfather Part II
