,timestamp,Open,High,Low,Close,Volume,year,month,day,hour,minute,weekday,is_weekend,close_change,close_pct_change,close_ma_5,close_ma_10,volume_change,volume_pct_change,price_spread,rolling_std,SMA10,SMA50
79,2024-02-02 13:20:00,412.01,412.202,411.69,412.01,159980.0,2024,2,2,13,20,4,0,0.40999999999996817,0.0009961127308064643,411.51239999999996,411.6617,-59668.0,-0.2716528263403264,0.5120000000000005,0.2803105233012459,411.6617,411.40042
80,2024-02-02 13:15:00,412.0,412.27,411.71,412.03,194519.0,2024,2,2,13,15,4,0,0.01999999999998181,4.854251110408825e-05,411.6264,411.69620000000003,34539.0,0.21589573696712083,0.5600000000000023,0.2865770586177966,411.69620000000003,411.41661999999997
81,2024-02-02 13:10:00,411.59,412.23,411.59,411.99,193938.0,2024,2,2,13,10,4,0,-0.03999999999996362,-9.708030968613723e-05,411.75640000000004,411.7287,-581.0,-0.002986854754548407,0.6400000000000432,0.2887398027357895,411.7287,411.43062000000003
82,2024-02-02 13:05:00,411.91,412.14,411.45,411.58,237198.0,2024,2,2,13,5,4,0,-0.410000000000025,-0.0009951697856744879,411.842,411.6932,43260.0,0.22306097825078108,0.6899999999999977,0.2843076354560956,411.6932,411.44201999999996
83,2024-02-02 13:00:00,411.7,412.06,411.7,411.941,199966.0,2024,2,2,13,0,4,0,0.36099999999999,0.000877107731182214,411.9102,411.6853,-37232.0,-0.15696591033651208,0.36000000000001364,0.28318271486743096,411.6853,411.4578400000001
84,2024-02-02 12:55:00,410.82,411.69,410.77,411.645,175477.0,2024,2,2,12,55,4,0,-0.29599999999999227,-0.0007185495010207932,411.83720000000005,411.67480000000006,-24489.0,-0.12246581918926214,0.9200000000000159,0.2576326229745973,411.67480000000006,411.47113999999993
85,2024-02-02 12:50:00,410.88,410.976,410.28,410.84,146358.0,2024,2,2,12,50,4,0,-0.8050000000000068,-0.0019555685117030874,411.5992,411.6128,-29119.0,-0.16594197530160648,0.6960000000000264,0.31105106620819106,411.6128,411.47174
86,2024-02-02 12:45:00,410.54,410.95,409.94,410.88,336975.0,2024,2,2,12,45,4,0,0.040000000000020464,9.736150326156157e-05,411.3772,411.56679999999994,190617.0,1.3024023285368753,1.009999999999991,0.3556098209226807,411.56679999999994,411.47514
87,2024-02-02 12:40:00,411.53,411.745,410.18,410.45,437484.0,2024,2,2,12,40,4,0,-0.4300000000000068,-0.001046534267912791,411.15119999999996,411.49659999999994,100509.0,0.29826841753839295,1.5649999999999977,0.4374513837648451,411.49659999999994,411.46394
88,2024-02-02 12:35:00,411.23,411.57,411.23,411.53,210220.0,2024,2,2,12,35,4,0,1.079999999999984,0.0026312583749543705,411.06899999999996,411.4896,-227264.0,-0.5194795695385431,0.339999999999975,0.43746198631831823,411.4896,411.47674
89,2024-02-02 12:30:00,411.19,411.71,411.136,411.26,317748.0,2024,2,2,12,30,4,0,-0.2699999999999818,-0.0006560882560201486,410.992,411.41459999999995,107528.0,0.5115022357530206,0.5739999999999554,0.44109770668412657,411.41459999999995,411.48434000000003
90,2024-02-02 12:25:00,410.75,411.232,410.64,411.17,174839.0,2024,2,2,12,25,4,0,-0.08999999999997499,-0.000218839663473136,411.058,411.3286,-142909.0,-0.44975578131097604,0.5920000000000414,0.44706556683840676,411.3286,411.48693999999995
91,2024-02-02 12:20:00,411.06,411.11,410.63,410.752,194026.0,2024,2,2,12,20,4,0,-0.41800000000000637,-0.0010166111340808026,411.03239999999994,411.2048,19187.0,0.10974096168475,0.4800000000000182,0.4763196488648109,411.2048,411.47838
92,2024-02-02 12:15:00,409.79,411.105,409.69,411.06,390538.0,2024,2,2,12,15,4,0,0.3079999999999927,0.0007498441882205498,411.1544,411.1528,196512.0,1.0128127158215907,1.4150000000000205,0.4712041685098472,411.1528,411.47658
93,2024-02-02 12:10:00,409.905,410.06,409.64,409.78,146972.0,2024,2,2,12,10,4,0,-1.2800000000000296,-0.0031139006471075925,410.8044,410.93670000000003,-243566.0,-0.6236678633065156,0.4200000000000159,0.5763220042924722,410.93670000000003,411.44557999999995
94,2024-02-02 12:05:00,409.97,410.08,409.75,409.89,201289.0,2024,2,2,12,5,4,0,0.11000000000001364,0.0002684367221437167,410.5304,410.76120000000003,54317.0,0.3695737963693764,0.3299999999999841,0.647437621462034,410.76120000000003,411.41758000000004
95,2024-02-02 12:00:00,409.83,410.38,409.83,409.94,189132.0,2024,2,2,12,0,4,0,0.05000000000001137,0.00012198394691265158,410.2844,410.67119999999994,-12157.0,-0.060395749395148246,0.5500000000000114,0.7042552617371699,410.67119999999994,411.38937999999996
96,2024-02-02 11:55:00,410.28,410.29,409.64,409.822,229229.0,2024,2,2,11,55,4,0,-0.117999999999995,-0.00028784700200024105,410.09839999999997,410.56539999999995,40097.0,0.2120053719095658,0.6500000000000341,0.7612840192037981,410.56539999999995,411.35661999999996
97,2024-02-02 11:50:00,409.828,410.31,409.71,410.275,348962.0,2024,2,2,11,50,4,0,0.45299999999997453,0.001105357935884399,409.9414,410.5479,119733.0,0.5223291991850945,0.6000000000000227,0.7810761048574861,410.5479,411.33902
98,2024-02-02 11:45:00,409.61,409.99,409.6,409.805,296584.0,2024,2,2,11,45,4,0,-0.46999999999997044,-0.0011455730912192097,409.9464,410.3754,-52378.0,-0.15009657211960037,0.38999999999998636,0.8136441417930582,410.3754,411.31292
99,2024-02-02 11:40:00,409.23,409.631,409.08,409.62,328177.0,2024,2,2,11,40,4,0,-0.18500000000000227,-0.0004514342187137421,409.8924,410.21139999999997,31593.0,0.10652294122407135,0.5509999999999877,0.8225238438396796,410.21139999999997,411.25512
